2026-05-05T12:16:12+00:00 | 17/608 | ministerium_form | scraped="Ministerin Heimat, Kommunales, Bauen und Wohnen"
2026-05-05T12:16:12+00:00 | 17/617 | ministerium_form | scraped="Minister Innernund dem Minister der Justiz"
2026-05-05T12:16:12+00:00 | 17/885 | ministerium_form | scraped="Ministerium Bauen, Wohnen, Stadtentwicklung und Verkehr des Landes NRW teilte am 13. Januar 2017 mit, mit dem Baubeginn sei Ende 2017 zu rechnen. Der Minister für Verkehr"
2026-05-05T12:16:12+00:00 | 17/1032 | ministerium_form | scraped="Ministerin Schule und Bildung ha die Kleine Anfrage 335 mit Schreiben vom 24. Oktober 2017"
2026-05-05T12:16:12+00:00 | 17/1044 | ministerium_form | scraped="Minister Inneren wies in besagter Sitzung darauf hin, dass, eine richtige Definition von No-Go-Areas wichtig sei. Es sei falsch zu behaupten, dass sich Polizei nicht in bestimmte Gebiete traue. Vielmehr würden mache Einsätze mit verstärkten Kräften gefahren. Man müsse sehen, dass die Bevölkerung ein ungutes Gefühl habe, wenn man bestimmte Gebiete betrete. In der sich anschließenden Debatte wurden im Ausschuss in diesem Zusammenhang u.a. passende Beobachtungen in Dortmund, Bad Oeynhausen und Bonn-Bad Godesberg angeführt. Der Chef der Staatskanzlei ergänzte, dass man sehr viele Hinweise auf ‚No-Go-Areas‘ über das Bürgertelefon der Staatskanzlei erhalten habe und man diese ernst nehmen wolle. Der Innenminister"
2026-05-05T12:16:12+00:00 | 17/1257 | ministerium_form | scraped="Minister BundesundEuropaangelegenheiten sowie Internationales"
2026-05-05T12:16:12+00:00 | 17/1587 | ministerium_form | scraped="Minister Innernsowie der Ministerinfür Kultur undWissenschaft"
2026-05-05T12:16:12+00:00 | 17/1808 | ministerium_form | scraped="Minister Bundes- und Europaangelegenheitensowie Internationales"
2026-05-05T12:16:12+00:00 | 17/2259 | ministerium_form | scraped="Ministerium Wirtschaft, Mittelstand, Innovation, Digitalisierung und Energie"
2026-05-05T12:16:12+00:00 | 17/2478 | ministerium_form | scraped="Ministerin Heimat, Kommunales, Bau und Gleichstellung der Ministerin für Umwelt, Landwirtschaft, Natur- und Verbraucherschutz"
2026-05-05T12:16:12+00:00 | 17/2695 | ministerium_form | scraped="Minister Verkehr, insofern mit der Wahrnehmung der Geschäfte des Ministeriums für Umwelt, Landwirtschaft, Natur und Verbraucherschutz beauftragt,"
2026-05-05T12:16:12+00:00 | 17/2699 | ministerium_form | scraped="Minister Verkehr, insofern mit der Wahrnehmung der Geschäfte des Ministeriums für Umwelt, Landwirtschaft, Natur- und Verbraucherschutz beauftragt,"
2026-05-05T12:16:12+00:00 | 17/2700 | ministerium_form | scraped="Minister Verkehr, zugleich auch für das Ministerium für Umwelt, Landwirtschaft, Natur- und Verbraucherschutz, insofern mit der Wahrnehmung der Geschäfte beauftragte,"
2026-05-05T12:16:12+00:00 | 17/2702 | ministerium_form | scraped="Minister Verkehr, zugleich auch für das Ministerium für Umwelt, Landwirtschaft, Natur- und Verbraucherschutz, insofern mit der Wahrnehmung der Geschäfte beauftragte,"
2026-05-05T12:16:12+00:00 | 17/2705 | ministerium_form | scraped="Ministerium Schule und Bildung teilte Tage später in einer Pressemitteilung vom 25.04.2018 mit, dass das Landeskabinett den Entwurf des Ministeriums für eine Änderungsverordnung zur OVP beschlossen habe. Ausgeführt wird zu welchem Einstellungstermin die Änderung wirksam werden und welcher Teilzeitgrad gelten soll. Die Ministerin für Schule und Bildung"
2026-05-05T12:16:12+00:00 | 17/4214 | ministerium_form | scraped="Ministerium Kinder, Familie, Flüchtlinge und Integration des Landes Nordrhein- Westfalen tritt"
2026-05-05T12:16:12+00:00 | 17/4287 | ministerium_form | scraped="Ministerium Heimat, Kommunales, Bau und Gleichstellung des Landes Nordrhein- Westfalen tritt"
2026-05-05T12:16:12+00:00 | 17/4289 | ministerium_form | scraped="Ministerium Wirtschaft, Innovation, Digitalisierung und Energie des Landes Nordrhein- Westfalen tritt"
2026-05-05T12:16:12+00:00 | 17/4951 | ministerium_form | scraped="Minister Wirtschaf, Innovation, Digitalisierung und Energie"
2026-05-05T12:16:12+00:00 | 17/5003 | ministerium_form | scraped="Ministerin Umwelt, Landwirtschaft, Natur- und Verbraucherschutz des Innern"
